Country_OW,City_ID_OW,City_Name_OW,Local_date_time_OW,Temparature_OW,Pressure_OW,Humidity_percent_OW,Clouds_all_OW,Wind_Speed_OW,Rain_3h_OW,Snow_3h_OW,Weather_Description_OW

CN,1796236,Shanghai,2018-03-14 21:00:00,286.94,1025.31,95,24,2.12,0.0,0.0,few clouds
CN,1796236,Shanghai,2018-03-15 00:00:00,290.29,1026.1,78,68,1.88,0.0,0.0,broken clouds
CN,1796236,Shanghai,2018-03-15 03:00:00,291.96,1027.8,97,92,3.88,0.9,0.0,light rain
CN,1796236,Shanghai,2018-03-15 06:00:00,292.06,1025.69,89,92,1.76,0.795,0.0,light rain
CN,1796236,Shanghai,2018-03-15 09:00:00,293.364,1024.96,76,92,1.7,0.01,0.0,light rain
CN,1796236,Shanghai,2018-03-15 12:00:00,289.683,1026.71,96,92,3.59,5.165,0.0,moderate rain
CN,1796236,Shanghai,2018-03-15 15:00:00,284.435,1029.72,100,92,8.92,6.865,0.0,moderate rain
CN,1796236,Shanghai,2018-03-15 18:00:00,282.574,1030.95,100,92,8.26,3.495,0.0,moderate rain
CN,1796236,Shanghai,2018-03-15 21:00:00,281.339,1032.23,100,92,8.21,1.16,0.0,light rain
CN,1796236,Shanghai,2018-03-16 00:00:00,281.1,1035.1,97,100,7.79,0.405,0.0,light rain
CN,1796236,Shanghai,2018-03-16 03:00:00,281.924,1036.91,92,88,6.99,0.7,0.0,light rain
CN,1796236,Shanghai,2018-03-16 06:00:00,284.15,1035.77,68,80,6.96,0.0,0.0,broken clouds
CN,1796236,Shanghai,2018-03-16 09:00:00,283.362,1035.77,66,92,5.98,0.0,0.0,overcast clouds
CN,1796236,Shanghai,2018-03-16 12:00:00,282.136,1037.12,76,92,3.74,0.005,0.0,light rain
CN,1796236,Shanghai,2018-03-16 15:00:00,281.459,1037.2,98,80,3.23,0.23,0.0,light rain
CN,1796236,Shanghai,2018-03-16 18:00:00,282.303,1035.66,97,92,3.06,0.18,0.0,light rain
CN,1796236,Shanghai,2018-03-16 21:00:00,283.915,1035.08,97,80,4.76,0.12,0.0,light rain
CN,1796236,Shanghai,2018-03-17 00:00:00,285.288,1035.99,88,68,6.26,0.02,0.0,light rain
CN,1796236,Shanghai,2018-03-17 03:00:00,288.412,1036.38,74,44,6.56,0.0,0.0,scattered clouds
CN,1796236,Shanghai,2018-03-17 06:00:00,290.269,1033.57,68,0,6.36,0.0,0.0,clear sky
CN,1796236,Shanghai,2018-03-17 09:00:00,288.569,1032.83,66,0,5.57,0.0,0.0,clear sky
CN,1796236,Shanghai,2018-03-17 12:00:00,283.919,1033.36,83,12,4.36,0.0,0.0,few clouds
CN,1796236,Shanghai,2018-03-17 15:00:00,282.436,1033.04,94,48,3.93,0.0,0.0,scattered clouds
CN,1796236,Shanghai,2018-03-17 18:00:00,282.709,1030.99,96,88,4.37,0.0,0.0,overcast clouds
CN,1796236,Shanghai,2018-03-17 21:00:00,283.869,1030.02,97,92,3.66,0.0,0.0,overcast clouds
CN,1796236,Shanghai,2018-03-18 00:00:00,286.313,1030.62,91,92,3.41,0.01,0.0,light rain
CN,1796236,Shanghai,2018-03-18 03:00:00,289.431,1029.75,81,92,4.43,0.01,0.0,light rain
CN,1796236,Shanghai,2018-03-18 06:00:00,290.891,1027.76,75,92,3.55,0.0,0.0,overcast clouds
CN,1796236,Shanghai,2018-03-18 09:00:00,290.696,1026.83,75,92,2.66,0.07,0.0,light rain
CN,1796236,Shanghai,2018-03-18 12:00:00,287.521,1027.57,94,92,2.66,0.63,0.0,light rain
