Country,City_ID,Population
IR,14256,514102
CY,18918,20230
IR,23814,766706
IR,24851,73528
IR,32723,49491
IR,32767,251834
IR,41210,50528
SO,50672,22022
SO,52867,51720
SO,53157,15923
SO,53654,2587183
SO,54715,33820
SO,55671,234852
SO,56166,43694
SO,56335,47086
SO,56399,185270
SO,57289,477876
SO,59611,61200
SO,60019,18904
SO,62691,33853
SO,62788,26562
SO,63571,27792
SO,63689,16928
SO,63795,99270
SO,64013,74287
SO,64435,242344
SO,64460,55410
SO,64536,129839
SO,65170,42240
SO,65785,65461
YE,69500,52590
YE,69559,33050
YE,70225,615222
YE,70979,69404
YE,71137,1937451
YE,71273,31859
YE,73560,23375
YE,74477,234837
YE,75337,43549
YE,76154,37997
YE,76991,34204
YE,77408,48218
YE,78754,258132
YE,79415,617871
YE,79836,37821
LY,81302,121052
LY,81604,15543
LY,87205,78782
LY,88319,650629
LY,88380,21015
LY,88562,46050
LY,88834,23164
LY,88835,53064
LY,88903,85315
LY,89055,206180
LY,89087,32563
LY,89113,134358
IQ,89570,95052
IQ,89824,107620
IQ,90026,59886
IQ,90150,42477
IQ,90353,23524
IQ,90708,128776
IQ,91597,158508
IQ,91812,30622
IQ,92002,22943
IQ,92004,20580
IQ,92430,28448
IQ,93709,29785
IQ,94220,44987
IQ,94298,30143
IQ,94787,601433
IQ,94824,434450
IQ,95446,932800
IQ,95788,31901
IQ,96205,57333
IQ,96309,30925
IQ,97417,75634
IQ,97783,36454
IQ,97990,152550
IQ,98012,27116
IQ,98112,42088
IQ,98182,5672513
IQ,98245,122676
IQ,98459,42354
IQ,98463,723170
IQ,98530,152890
IQ,98589,22643
IQ,98622,82732
IQ,98629,57661
IQ,98677,22370
IQ,98685,47248
IQ,98717,274539
IQ,98854,400249
IQ,98860,482576
IQ,98885,19719
IQ,99010,36992
IQ,99039,42901
IQ,99060,23189
IQ,99062,50698
IQ,99071,2065597
IQ,99072,1739800
IQ,99097,35515
IQ,99131,315162
IQ,99169,70046
IQ,99306,19711
IQ,99344,57490
IQ,99347,289709
IQ,99350,78272
